t,ex,ey,ez,ax,ay,az,mx,my,mz,gx,gy,gz
1613570919303,0.3125,1.375,0.125,-0.27,0.59,10.84,-69.375,69.0625,-47,0.00555556,0.00111111,-0.00444444
1613570919409,0.3125,1.4375,0.125,0.53,-0.94,4.73,-69.375,68.6875,-48.75,0.00777778,0.0422222,-0.0144444
1613570919513,0.3125,1.4375,0.125,2.29,-0.58,1.58,-69.75,67.875,-48.0625,-0.00777778,-0.0122222,0.00444444
1613570919622,0.3125,1.4375,0.125,-3.23,1.04,19.34,-69.375,67.875,-48.75,-0.0122222,-0.0166667,0.01
1613570919726,0.375,1.4375,0.125,-0.42,-0.58,8.64,-69.0625,68.6875,-48.375,-0.00111111,0.0111111,0
1613570919829,0.375,1.5,0.125,-1.66,-0.07,14.64,-68.75,68.6875,-47.375,0.00111111,0.00888889,-0.01
1613570919932,0.375,1.5,0.125,1.03,-0.56,2.58,-69.0625,69.0625,-46.5625,-0.00666667,-0.00222222,-0.00444444
1613570920035,0.375,1.5,0.125,-3.46,1.26,18.19,-68.75,69.375,-47,-0.00555556,-0.0466667,0.01
1613570920141,0.375,1.5625,0.125,2.3,-0.69,0.57,-68.75,69.0625,-47,0.00111111,-0.00666667,-0.00333333
1613570920244,0.4375,1.5625,0.125,0.88,0.55,6.68,-68.75,70.0625,-48.375,0.00888889,0.00888889,-0.0111111
1613570920352,0.375,1.5625,0.125,1.98,-0.27,3.23,-69.375,69.0625,-47.6875,-0.00111111,0.0344444,-0.0111111
1613570920455,0.4375,1.625,0.125,-1.03,1.05,13.01,-69.375,69.0625,-47.375,-0.01,-0.01,0.00888889
1613570920562,0.4375,1.5625,0.125,0.47,-0.47,5.21,-69.0625,69.0625,-47,-0.00555556,-0.0422222,0.01
1613570920665,0.4375,1.625,0.1875,2.36,-0.37,0.78,-69.0625,69.375,-47.375,0.00555556,0.0244444,-0.01
1613570920773,0.4375,1.6875,0.1875,-3.08,0.8,16.8,-69.0625,69.0625,-47,-0.00333333,0.0255556,-0.01
1613570920876,0.4375,1.6875,0.1875,0.81,0.31,5.48,-69.0625,69.375,-48.0625,-0.00444444,-0.0355556,0.00777778
1613570920979,0.4375,1.6875,0.1875,-1.95,0.15,12.99,-68.75,68.25,-47.375,-0.00444444,-0.0388889,0.00777778
1613570921082,0.4375,1.6875,0.1875,-0.09,0.42,9.06,-69.375,68.25,-46.5625,0.00444444,0.0311111,-0.0122222
1613570921186,0.4375,1.6875,0.1875,-2.99,1.06,17.63,-69.375,69.0625,-46.1875,0.00333333,0.00555556,-0.0111111
1613570921289,0.4375,1.75,0.1875,-2.21,1.54,13.31,-68.75,69.375,-47,-0.01,-0.0333333,0.0111111
1613570921395,0.5,1.75,0.1875,1.71,-0.86,3.58,-69.75,68.6875,-48.0625,-0.00111111,-0.0266667,0.00555556
1613570921498,0.5,1.8125,0.125,1.59,-0.27,2.05,-68.375,69.6875,-47.6875,0.0122222,0.0377778,-0.0144444
1613570921606,0.5,1.8125,0.125,-2.09,-0.02,15.71,-69.375,68.6875,-47.375,0.00333333,0.0288889,-0.01
1613570921709,0.5,1.875,0.125,1.58,-1.08,4.34,-69.0625,69.0625,-47,-0.00666667,-0.0322222,0.0111111
1613570921816,0.5,1.8125,0.125,-0.43,-0.43,8.04,-69.375,69.0625,-47.375,0.00333333,-0.00444444,-0.00666667
1613570921919,0.5,1.875,0.125,1.97,-0.64,2.25,-69.0625,69.375,-48.0625,0.00444444,0.04,-0.0133333
1613570922027,0.5,1.875,0.125,-3.64,1.04,18.98,-68.75,69.0625,-47.375,-0.00888889,-0.00111111,-0.00555556
1613570922130,0.5625,1.9375,0.125,-1.12,-0.36,12.2,-68.75,69.375,-47.6875,-0.01,-0.0355556,0.00888889
1613570922233,0.5625,1.875,0.1875,-0.41,0.65,9.87,-69.75,69.6875,-47.6875,0.00333333,-0.00333333,0.00111111
1613570922338,0.5625,1.9375,0.1875,1.56,-0.16,4.52,-69.0625,69.6875,-47.6875,0.00888889,0.0155556,-0.00777778
1613570922441,0.5625,1.9375,0.1875,-2.51,1.24,16.19,-69.0625,68.6875,-47.375,-0.00555556,0.00666667,-0.00111111
1613570922545,0.625,2,0.1875,2.01,-1.14,2.55,-69.0625,68.6875,-47.6875,-0.00666667,-0.0422222,0.0144444
1613570922648,0.625,1.9375,0.125,-3.5,1.1,20.43,-68.6875,68.6875,-47.6875,0.0111111,0.0366667,-0.0122222
1613570922751,0.625,2,0.1875,-2.53,0.25,14.48,-68.75,68.6875,-47.375,0.00111111,0.0322222,-0.0111111
1613570922857,0.625,2.0625,0.1875,-2.56,0.29,16.71,-68.6875,68.6875,-47.6875,-0.00666667,-0.0233333,0.00666667
1613570922962,0.625,2.0625,0.1875,0.56,-1.07,7.45,-68.375,69.0625,-47.375,-0.00222222,-0.04,0.0133333
1613570923067,0.625,2.0625,0.1875,-1.84,1.11,14.65,-70.1875,68.6875,-48.0625,0.00888889,0,-0.00555556
1613570923173,0.625,2.0625,0.1875,-2.73,0.34,18.78,-68,68.6875,-48.75,0.00333333,0.0166667,-0.01
1613570923278,0.625,2.125,0.1875,1.45,-0.03,4.46,-69.0625,68.6875,-48.0625,-0.00888889,-0.0155556,0.00666667
1613570923383,0.625,2.125,0.1875,2.55,-0.68,0.51,-68.75,69.0625,-48.375,-0.00111111,-0.0266667,0.0122222
1613570923486,0.625,2.125,0.1875,0.39,0.59,8.34,-68.6875,68.6875,-47.6875,0.00333333,-0.00666667,-0.00666667
1613570923591,0.625,2.125,0.1875,-0.56,-0.51,8.75,-68.75,68.6875,-47.6875,0,0.0177778,-0.00777778
1613570923695,0.625,2.1875,0.1875,2.46,-0.99,0.21,-69.375,69.375,-48.0625,-0.00888889,-0.00888889,0.00333333
1613570923798,0.6875,2.1875,0.1875,-3.54,1.05,17.42,-68.75,69.0625,-47.6875,0.00444444,-0.0377778,0.00666667
1613570923902,0.6875,2.1875,0.1875,-2.68,1.3,16.69,-69.0625,68.6875,-47.6875,0.00777778,0.0244444,-0.0122222
1613570924006,0.6875,2.1875,0.1875,-3.17,0.53,16.61,-69.75,68.6875,-47.375,-0.00888889,0.0333333,-0.0122222
1613570924113,0.6875,2.25,0.1875,1.4,-0.06,4.39,-68.375,68.25,-47.6875,-0.0144444,-0.0222222,0.0122222
1613570924217,0.6875,2.25,0.1875,-2.32,1.37,16.29,-69.0625,68.25,-47.6875,-0.00333333,-0.0433333,0.0111111
1613570924324,0.6875,2.25,0.1875,1.7,-0.97,2,-69.0625,69.0625,-48.0625,0.01,0.0155556,-0.0144444
1613570924428,0.6875,2.25,0.1875,1.68,0.1,4.05,-68.6875,68.6875,-48.0625,-0.00333333,0.0155556,-0.01
1613570924534,0.75,2.25,0.1875,1.98,-0.71,0.78,-68.375,69.0625,-46.1875,-0.00333333,0.00444444,-0.00333333
1613570924638,0.75,2.3125,0.1875,0.57,0.5,5.31,-69.0625,68.6875,-48.0625,-0.00555556,-0.00888889,0.00666667
1613570924741,0.75,2.3125,0.1875,-0.65,-0.65,9.34,-68.375,69.0625,-47.6875,0.00555556,-0.0422222,0
