t,ex,ey,ez,ax,ay,az,mx,my,mz,gx,gy,gz
1613558734478,0,-3.625,-2.9375,-0.62,0.5,9.67,-64.75,81.5,-49.0625,-0.00111111,0.00111111,-0.00111111
1613558734583,0,-3.625,-2.9375,-0.59,0.51,9.68,-64.375,81.875,-49.0625,0,-0.00111111,0.00222222
1613558734687,0,-3.625,-2.9375,-0.61,0.5,9.71,-64.375,81.5,-49.375,0,0.00111111,0
1613558734793,0,-3.625,-2.9375,-0.61,0.51,9.67,-64,82.1875,-51.1875,-0.00111111,-0.00333333,0.00222222
1613558734900,0,-3.625,-2.9375,-0.61,0.51,9.68,-64.375,82.1875,-49.6875,0,0.00111111,0.00111111
1613558735005,0,-3.625,-2.9375,-0.62,0.51,9.67,-64.75,82.5625,-50.5,-0.00111111,-0.00111111,-0.00111111
1613558735114,0,-3.625,-2.9375,-0.6,0.52,9.72,-64.75,81.875,-49.0625,0.00111111,-0.00111111,0
1613558735226,0,-3.625,-2.9375,-0.6,0.51,9.67,-64.75,82.875,-49.375,-0.00111111,0.00222222,0
1613558735337,0,-3.625,-2.9375,-0.62,0.5,9.7,-64.375,81.875,-50.0625,0,-0.00111111,-0.00111111
1613558735442,0,-3.625,-2.9375,-0.61,0.49,9.7,-64.75,81.875,-50.0625,0,-0.00333333,-0.00222222
1613558735546,0,-3.625,-2.9375,-0.62,0.5,9.69,-64,81.5,-49.6875,0,0.00222222,-0.00222222
1613558735652,0,-3.625,-2.9375,-0.62,0.5,9.68,-64.375,81.0625,-49.375,0,-0.00111111,-0.00111111
1613558735756,0,-3.625,-2.9375,-0.59,0.5,9.68,-65.0625,81.5,-50.0625,0.00111111,-0.00111111,0.00111111
1613558735863,0,-3.625,-2.9375,-0.6,0.5,9.67,-64,81.5,-49.6875,-0.00111111,-0.00111111,0
1613558735967,0,-3.625,-2.9375,-0.61,0.52,9.68,-64.75,81.0625,-50.0625,-0.00222222,-0.00111111,0.00111111
1613558736074,0,-3.625,-2.9375,-0.62,0.49,9.66,-64,81.5,-50.0625,-0.00222222,0.00111111,0.00222222
1613558736180,0,-3.625,-2.9375,-0.62,0.5,9.68,-64.75,81.5,-50.5,0,-0.00222222,-0.00222222
1613558736288,0,-3.625,-2.9375,-0.62,0.51,9.69,-64.75,81.0625,-51.1875,0,0.00333333,-0.00111111
1613558736392,0,-3.625,-2.9375,-0.61,0.49,9.69,-64.375,81.0625,-49.6875,0,0,0
1613558736499,0,-3.625,-2.9375,-0.61,0.49,9.69,-64.375,81.0625,-49.375,0,0,-0.00111111
1613558736607,0,-3.625,-2.9375,-0.62,0.5,9.68,-64.375,81.875,-48.6875,0.00111111,0.00111111,-0.00111111
1613558736713,0,-3.625,-2.9375,-0.62,0.53,9.69,-64.375,81.5,-49.6875,0.00111111,0.00222222,0.00222222
1613558736820,0,-3.625,-2.9375,-0.6,0.51,9.68,-64.75,82.5625,-50.0625,0.00222222,-0.00111111,-0.00222222
1613558736929,0,-3.625,-2.9375,-0.62,0.49,9.67,-64.375,81.5,-50.0625,0.00111111,0.00111111,-0.00222222
1613558737035,0,-3.625,-2.9375,-0.62,0.5,9.69,-64.375,81.5,-49.0625,0.00222222,0,-0.00111111
1613558737142,0,-3.625,-2.9375,-0.63,0.5,9.68,-64,82.1875,-49.375,0,-0.00111111,0.00222222
1613558737247,0,-3.625,-2.9375,-0.62,0.49,9.68,-64.75,82.5625,-49.6875,-0.00111111,0.00222222,-0.00111111
1613558737353,0,-3.625,-2.9375,-0.62,0.51,9.69,-64.375,80.75,-49.0625,0.00111111,0,0.00222222
1613558737461,0,-3.625,-2.9375,-0.61,0.5,9.71,-64,81.875,-50.875,0,0,-0.00111111
1613558737568,0,-3.625,-2.9375,-0.62,0.52,9.69,-65.0625,81.0625,-50.875,0,0.00111111,0
1613558737674,0,-3.625,-2.9375,-0.62,0.5,9.66,-64,81.5,-50.0625,0,0,-0.00222222
1613558737782,0,-3.625,-2.9375,-0.61,0.5,9.66,-64.375,81.5,-50.5,0,-0.00222222,-0.00222222
1613558737888,0,-3.625,-2.9375,-0.63,0.51,9.68,-64.75,81.875,-50.0625,0.00222222,0,-0.00333333
1613558737995,0,-3.625,-2.9375,-0.62,0.51,9.68,-64.75,81.875,-49.0625,0,0,-0.00111111
1613558738100,0,-3.625,-2.9375,-0.61,0.53,9.68,-64.375,82.1875,-50.0625,0,0,0
1613558738206,0,-3.625,-2.9375,-0.62,0.51,9.65,-64.75,81.0625,-49.6875,0,-0.00111111,0.00111111
1613558738314,0,-3.625,-2.9375,-0.6,0.49,9.69,-64.375,80.75,-50.5,-0.00111111,0,0
1613558738421,0,-3.625,-2.9375,-0.62,0.5,9.7,-64,81.875,-50.0625,0.00111111,0,0
1613558738527,0,-3.625,-2.9375,-0.61,0.5,9.66,-65.0625,81.0625,-50.0625,0.00222222,0.00222222,0
1613558738635,0,-3.625,-2.9375,-0.6,0.5,9.71,-64.75,81.0625,-50.0625,-0.00111111,0,-0.00111111
1613558738742,0,-3.625,-2.9375,-0.62,0.49,9.7,-64,81.5,-49.375,0,0,-0.00222222
1613558738848,0,-3.625,-2.9375,-0.61,0.51,9.71,-64,81.5,-49.375,0,-0.00111111,0.00111111
1613558738953,0,-3.625,-2.9375,-0.61,0.5,9.67,-64.75,81.0625,-49.375,0.00111111,-0.00222222,-0.00222222
1613558739059,0,-3.625,-2.9375,-0.63,0.5,9.67,-64.75,82.1875,-50.0625,-0.00111111,0,0
1613558739169,0,-3.625,-2.9375,-0.6,0.52,9.71,-64.375,81.0625,-50.0625,0,0,0.00111111
1613558739278,0,-3.625,-2.9375,-0.63,0.5,9.69,-65.5,82.1875,-49.6875,0.00111111,0.00222222,0.00111111
1613558739385,0,-3.625,-2.9375,-0.6,0.5,9.63,-64.375,81.875,-49.6875,0,0,0
1613558739490,0,-3.625,-2.9375,-0.61,0.49,9.68,-64.375,81.5,-49.375,0,-0.00111111,0
1613558739599,0,-3.625,-2.9375,-0.61,0.51,9.72,-64.375,81.875,-49.0625,0.00111111,0.00222222,-0.00111111
1613558739703,0,-3.625,-2.9375,-0.62,0.51,9.67,-64,82.1875,-50.0625,0.00222222,-0.00222222,-0.00222222
1613558739810,0,-3.625,-2.9375,-0.62,0.48,9.7,-63.5625,81.5,-49.6875,-0.00111111,0,0.00222222
1613558739918,0,-3.625,-2.9375,-0.63,0.49,9.7,-64.75,80.75,-50.0625,0,-0.00333333,-0.00111111
1613558740023,0,-3.625,-2.9375,-0.62,0.52,9.7,-65.0625,81.5,-49.6875,0,0,0
1613558740131,0,-3.625,-2.9375,-0.61,0.51,9.66,-64.75,81.5,-49.375,-0.00111111,0.00222222,0.00111111
1613558740239,0,-3.625,-2.9375,-0.62,0.51,9.67,-64.375,81.0625,-50.0625,0.00111111,0.00222222,0
1613558740344,0,-3.625,-2.9375,-0.62,0.51,9.67,-64.75,82.1875,-50.875,0.00111111,0.00111111,0
1613558740452,0,-3.625,-2.9375,-0.62,0.52,9.7,-64.75,81.75,-50.0625,-0.00111111,0.00444444,-0.00111111
1613558740558,0,-3.625,-2.9375,-0.61,0.5,9.67,-64.375,81.875,-50.875,-0.00111111,0.00333333,0
1613558740664,0,-3.625,-2.9375,-0.61,0.47,9.69,-65.5,81.5,-49.375,-0.00111111,0.00222222,0
1613558740773,0,-3.625,-2.9375,-0.62,0.51,9.7,-64,81.75,-49.375,0.00111111,0,0
1613558740882,0,-3.625,-2.9375,-0.62,0.51,9.7,-64,81.5,-50.0625,-0.00333333,-0.00111111,0.00111111
1613558740986,0,-3.625,-2.9375,-0.62,0.48,9.66,-64,81.875,-49.375,0,0.00222222,0
1613558741094,0,-3.625,-2.9375,-0.61,0.52,9.68,-64.75,81.5,-50.0625,-0.00111111,-0.00444444,0.00111111
1613558741198,0,-3.625,-2.9375,-0.62,0.52,9.68,-64.375,82.1875,-49.375,0.00111111,0,0.00222222
1613558741305,0,-3.625,-2.9375,-0.62,0.51,9.65,-64.375,81.5,-49.0625,0.00111111,-0.00111111,0.00222222
1613558741408,0,-3.625,-2.9375,-0.6,0.5,9.68,-65.5,81.0625,-49.0625,0.00111111,0.00222222,0
1613558741512,0,-3.625,-2.9375,-0.61,0.49,9.68,-64,81.5,-50.0625,-0.00111111,0.00222222,0.00222222
1613558741618,0,-3.625,-2.9375,-0.62,0.49,9.71,-64.375,82.1875,-50.0625,0.00222222,0.00222222,-0.00222222
1613558741725,0,-3.625,-2.9375,-0.62,0.51,9.69,-64.75,82.5625,-50.5,0,-0.00111111,-0.00111111
1613558741828,0,-3.625,-2.9375,-0.62,0.5,9.69,-64.75,82.5625,-50.5,0.00111111,0.00111111,-0.00222222
1613558741935,0,-3.625,-2.9375,-0.61,0.52,9.7,-64.375,81.875,-50.5,0,0,0.00111111
1613558742038,0,-3.625,-2.9375,-0.61,0.5,9.67,-64,81.875,-49.6875,0,0,-0.00111111
1613558742143,0,-3.625,-2.9375,-0.62,0.5,9.68,-65.0625,81.875,-50.0625,-0.00222222,-0.00444444,0.00111111
1613558742248,0,-3.625,-2.9375,-0.62,0.51,9.65,-64.75,81.5,-48.6875,-0.00222222,-0.00222222,0.00111111
1613558742352,0,-3.625,-2.9375,-0.62,0.52,9.69,-64.375,81.5,-50.0625,0,-0.00333333,0.00111111
1613558742459,0,-3.625,-2.9375,-0.61,0.49,9.68,-65.5,82.5625,-50.0625,0,-0.00222222,0.00111111
1613558742562,0,-3.625,-2.9375,-0.63,0.49,9.72,-64,81.5,-49.375,0,-0.00222222,0
1613558742668,0,-3.625,-2.9375,-0.61,0.5,9.68,-64.75,81.0625,-48.25,-0.00111111,-0.00222222,-0.00111111
1613558742772,0,-3.625,-2.9375,-0.62,0.5,9.68,-64.375,81.5,-50.875,0.00222222,0.00333333,0.00111111
1613558742880,0,-3.625,-2.9375,-0.61,0.52,9.68,-65.0625,81.5,-50.5,0,0,0.00111111
1613558742984,0,-3.625,-2.9375,-0.61,0.5,9.67,-64.75,81.0625,-49.375,0.00222222,-0.00111111,0.00222222
1613558743091,0,-3.625,-2.9375,-0.62,0.5,9.69,-64.75,81.5,-50.875,0,0.00444444,0
1613558743197,0,-3.625,-2.9375,-0.61,0.51,9.69,-65.0625,81.875,-50.0625,-0.00111111,0,0.00111111
1613558743303,0,-3.625,-2.9375,-0.62,0.49,9.67,-64.375,80.75,-50.0625,0.00111111,0.00333333,-0.00111111
1613558743408,0,-3.625,-2.9375,-0.59,0.5,9.69,-64.375,81.875,-49.375,0.00111111,0.00333333,0
1613558743514,0,-3.625,-2.9375,-0.6,0.52,9.69,-64.375,81.75,-49.6875,0.00111111,0.00111111,-0.00111111
1613558743618,0,-3.625,-2.9375,-0.63,0.51,9.71,-64.75,81.0625,-49.6875,0.00222222,0,0
1613558743724,0,-3.625,-2.9375,-0.63,0.5,9.7,-65.0625,81.875,-50.0625,0.00222222,0.00111111,0.00222222
1613558743830,0,-3.625,-2.9375,-0.6,0.52,9.69,-64.375,81.0625,-50.5,0.00222222,0,0
1613558743935,0,-3.625,-2.9375,-0.62,0.5,9.69,-63.5625,81.5,-49.6875,0.00111111,0.00111111,0
1613558744042,0,-3.625,-2.9375,-0.61,0.5,9.68,-64,81.875,-49.6875,-0.00111111,0.00222222,0.00222222
1613558744146,0,-3.625,-2.9375,-0.59,0.5,9.68,-64.375,81.0625,-49.6875,0,0.00111111,-0.00111111
1613558744256,0,-3.625,-2.9375,-0.62,0.5,9.66,-64.75,81.5,-49.0625,-0.00222222,-0.00111111,-0.00111111
